Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.8908,Mon Jun 11 02:11:03 +0000 2018,0.0,0.509,0.491,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,37,@CBS
0.0,Mon Jun 11 02:05:47 +0000 2018,0.0,1.0,0.0,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,38,@CBS
0.4926,Mon Jun 11 02:03:31 +0000 2018,0.0,0.738,0.262,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,39,@CBS
0.5093,Mon Jun 11 01:58:48 +0000 2018,0.0,0.477,0.523,@writerlindsayb You're welcome! #TonyAwards,40,@CBS
0.7579,Mon Jun 11 01:53:17 +0000 2018,0.0,0.519,0.481,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,41,@CBS
0.6467,Mon Jun 11 01:51:16 +0000 2018,0.0,0.752,0.248,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",42,@CBS
0.0,Mon Jun 11 01:38:23 +0000 2018,0.0,1.0,0.0,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,43,@CBS
0.636,Mon Jun 11 01:37:36 +0000 2018,0.0,0.724,0.276,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,44,@CBS
0.8834,Mon Jun 11 01:30:56 +0000 2018,0.0,0.437,0.563,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,45,@CBS
0.0,Mon Jun 11 01:29:21 +0000 2018,0.0,1.0,0.0,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,46,@CBS
0.7351,Mon Jun 11 01:26:03 +0000 2018,0.079,0.625,0.296,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,47,@CBS
0.0,Mon Jun 11 01:25:59 +0000 2018,0.0,1.0,0.0,RT @KatLargent: MAGIC #TonyAwards,48,@CBS
0.0,Mon Jun 11 01:24:46 +0000 2018,0.0,1.0,0.0,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,49,@CBS
0.4019,Mon Jun 11 01:24:12 +0000 2018,0.0,0.838,0.162,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,50,@CBS
0.9151,Mon Jun 11 01:19:59 +0000 2018,0.0,0.543,0.457,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,51,@CBS
0.6369,Mon Jun 11 01:12:31 +0000 2018,0.0,0.625,0.375,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,52,@CBS
0.1511,Mon Jun 11 01:08:28 +0000 2018,0.0,0.898,0.102,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,53,@CBS
0.1531,Mon Jun 11 01:08:24 +0000 2018,0.0,0.852,0.148,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,54,@CBS
0.8834,Mon Jun 11 01:02:47 +0000 2018,0.0,0.437,0.563,Nathan Lane wins Best Featured Actor in a Play. #TonyAwards @angelsbway https://t.co/xc8M7JtLDE,55,@CBS
0.0,Mon Jun 11 00:58:06 +0000 2018,0.0,1.0,0.0,🌟 @joshgroban and @SaraBareilles are Host Goals. 🌟 #TonyAwards https://t.co/OGQec8cXJ6,56,@CBS
0.2714,Mon Jun 11 00:52:34 +0000 2018,0.0,0.793,0.207,RT @adub369: This is unbelievable! @SaraBareilles and @joshgroban #TonyAwards,57,@CBS
0.0,Mon Jun 11 00:51:11 +0000 2018,0.0,1.0,0.0,Who lives in a pineapple and just performed at The Tonys? 🍍🎶 The cast of SpongeBob SquarePants: The Musical!… https://t.co/mvFxdh9UJi,58,@CBS
0.8883,Mon Jun 11 00:50:18 +0000 2018,0.0,0.433,0.567,✨ @LindsayMendez wins Best Featured Actress in a Musical! #TonyAwards @carouselbway https://t.co/MtgFowscN5,59,@CBS
0.9134,Mon Jun 11 00:45:14 +0000 2018,0.0,0.387,0.613,A big congratulations to @springsteen for his Special Tony award! ✨ #TonyAwards https://t.co/i16u8uv9aT,60,@CBS
0.0,Mon Jun 11 00:44:36 +0000 2018,0.0,1.0,0.0,Can the 73rd annual #TonyAwards just be three-hours of @TitussBurgess? https://t.co/3rCZwwTUtv,61,@CBS
0.25,Mon Jun 11 00:35:41 +0000 2018,0.0,0.92,0.08,"RT @CBSThisMorning: ""We know there are a lot of you out there who have photos of yourself in school plays or community theater."" Post your…",62,@CBS
0.4588,Mon Jun 11 00:34:45 +0000 2018,0.0,0.85,0.15,Keep your acceptance speeches short or else the #TonyAwards will get the angels involved. #AngelsInAmerica 👼 https://t.co/oznhezRzDc,63,@CBS
0.0,Mon Jun 11 00:31:28 +0000 2018,0.0,1.0,0.0,"If you haven't started singing, you will be the rest of the night. #TonyAwards #MyFairLady https://t.co/jbGXwnru8N",64,@CBS
0.3612,Mon Jun 11 00:27:42 +0000 2018,0.0,0.737,0.263,RT @marialena_rago: I like this opener for @MyFairLadyBway #TonyAwards,65,@CBS
0.8908,Mon Jun 11 00:27:00 +0000 2018,0.0,0.43,0.57,Laurie Metcalf wins Best Featured Actress in a Play! #TonyAwards @threetallwomen https://t.co/y4teyJaRPs,66,@CBS
0.0,Mon Jun 11 00:24:31 +0000 2018,0.0,1.0,0.0,Tina Fey has a boat?? #MeanGirls #TonyAwards https://t.co/phYxmHMd3d,67,@CBS
0.0,Mon Jun 11 00:22:15 +0000 2018,0.0,1.0,0.0,Representing the hardest-working men and women in Broadway… ensemble members from every nominated musical tonight!… https://t.co/imlEEnOUla,68,@CBS
0.6369,Mon Jun 11 00:22:15 +0000 2018,0.0,0.588,0.412,RT @misschae: I love theatre so much. #TonyAwards,69,@CBS
0.0,Mon Jun 11 00:18:16 +0000 2018,0.0,1.0,0.0,On Wednesdays they wear pink and on Sundays they perform at the #TonyAwards. 💕 Who thought that performance by the… https://t.co/w7QDkaX6kF,70,@CBS
0.6369,Mon Jun 11 00:13:27 +0000 2018,0.0,0.756,0.244,"RT @MichaelJMoritz: ""We are all made perfectly and we all belong” - Andrew Garfield #TonyAwards",71,@CBS
0.8834,Mon Jun 11 00:12:31 +0000 2018,0.0,0.437,0.563,Andrew Garfield wins Best Leading Actor in a Play. #TonyAwards @angelsbway https://t.co/s2VQnw6IPP,72,@CBS
0.6696,Mon Jun 11 00:06:39 +0000 2018,0.0,0.64,0.36,"RT @nightingalen: Love this opening song! @joshgroban
@SaraBarreilles 
#TonyAwards",73,@CBS
0.3182,Mon Jun 11 00:04:15 +0000 2018,0.0,0.85,0.15,✨ @joshgroban and @SaraBareilles take the stage to begin an unforgettable evening. #TonyAwards https://t.co/y9uzlK2DzO,74,@CBS
0.0,Sun Jun 10 23:59:00 +0000 2018,0.0,1.0,0.0,Grab your popcorn... it's time for the #TonyAwards! Go and stream the entire show now: https://t.co/Wo1algQHix https://t.co/JGYTk4NPDN,75,@CBS
0.4374,Sun Jun 10 23:18:15 +0000 2018,0.0,0.855,0.145,✨ @thegoodfight's Christine Baranski has arrived on the #TonyAwards red carpet! Watch LIVE at 8/7c on CBS! https://t.co/XnXAnPtRrc,76,@CBS
0.0,Sun Jun 10 22:01:25 +0000 2018,0.0,1.0,0.0,"The hosts have arrived! We're LIVE with @SaraBareilles, @joshgroban and more on the #TonyAwards red carpet hosted b… https://t.co/NtarbgywLe",77,@CBS
0.4184,Sun Jun 10 15:00:01 +0000 2018,0.0,0.843,0.157,Tonight's the night! Join @etnow's @DDirecto on the #TonyAwards' red carpet starting at 5PM ET! https://t.co/hZLOSiIRAT,78,@CBS
0.68,Sat Jun 09 21:00:02 +0000 2018,0.0,0.763,0.237,These two know a thing or two about awards! Watch them light up the stage tomorrow at the #TonyAwards. ✨ https://t.co/KHVZp65oLS,79,@CBS
0.0,Sat Jun 09 16:00:00 +0000 2018,0.0,1.0,0.0,Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUhVPFK6,80,@CBS
0.296,Fri Jun 08 19:46:17 +0000 2018,0.0,0.82,0.18,Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY,81,@CBS
0.0,Fri Jun 08 15:00:03 +0000 2018,0.0,1.0,0.0,Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ,82,@CBS
0.9078,Fri Jun 08 13:58:15 +0000 2018,0.0,0.564,0.436,"We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT",83,@CBS
0.3612,Thu Jun 07 17:03:26 +0000 2018,0.0,0.872,0.128,"Get ready for show-stopping performances by the casts of the 2018 Tony-nominated shows Mean Girls, SpongeBob Square… https://t.co/NiSx9Bbw0F",84,@CBS
0.2732,Wed Jun 06 21:00:24 +0000 2018,0.105,0.719,0.176,Don’t miss a special performance from @springsteen this Sunday at the #TonyAwards: https://t.co/LYYdleaFwU https://t.co/IKkKoITH9y,85,@CBS
0.3595,Wed Jun 06 00:08:30 +0000 2018,0.0,0.872,0.128,"RT @CBSThisMorning: .@SaraBareilles and @joshgroban are hosting this Sunday's @TheTonyAwards on @CBS! 

Wednesday, they'll join us LIVE on…",86,@CBS
-0.4404,Tue Jun 05 22:23:35 +0000 2018,0.177,0.723,0.1,"RT @SU2C: SU2C telecast Co-Executive Producer Bradley Cooper sits down with Mitch Carbon, a pediatric cancer survivor who benefited from #S…",87,@CBS
0.4574,Tue Jun 05 22:12:28 +0000 2018,0.0,0.824,0.176,RT @StrangeAngel: About last night... The #StrangeAngel screening party was a blast! Pun intended. 🚀😏 https://t.co/m64EcNmweY,88,@CBS
0.5093,Tue Jun 05 19:00:02 +0000 2018,0.0,0.845,0.155,These CBS stars can really belt it out! Find out which celebs from your favorite shows are pitch-perfect:… https://t.co/X4zMACFazB,89,@CBS
0.0,Tue Jun 05 15:04:41 +0000 2018,0.0,1.0,0.0,"More stars are set to appear at the #TonyAwards, including @billyjoel, @amyschumer, and @katharinemcphee. See who e… https://t.co/lPUocBcn9t",90,@CBS
0.0,Mon Jun 04 17:00:00 +0000 2018,0.0,1.0,0.0,"The #TonyAwards are just days away, and @joshgroban and @SaraBareilles will bring all they've got to Broadway's Big… https://t.co/eKkWn6ClSq",91,@CBS
-0.3903,Fri Jun 01 17:39:17 +0000 2018,0.131,0.807,0.062,"Call us old-fashioned, but we donut want you missing out on #NationalDonutDay! Here are a few treats from us to you… https://t.co/HpzN8bQ3SO",92,@CBS
0.8442,Fri Jun 01 17:00:03 +0000 2018,0.0,0.664,0.336,Remember @Lin_Manuel’s beautiful sonnet from the 70th Annual Tony Awards®? Relive some of the greatest moments in… https://t.co/IZjeQLd58C,93,@CBS
0.8932,Thu May 31 23:50:00 +0000 2018,0.0,0.545,0.455,"Good friends @joshgroban and @SaraBareilles are hosting the #TonyAwards together? Well, this is bound to be fun! https://t.co/26Vgzp0s2e",94,@CBS
0.4926,Wed May 30 15:07:34 +0000 2018,0.0,0.849,0.151,"The #TonyAwards just got even better because @UzoAduba, @MattBomer, and more stars will be presenting live! Find ou… https://t.co/hfFBtWo1T9",95,@CBS
0.0,Mon May 28 21:00:01 +0000 2018,0.0,1.0,0.0,"Mark your calendars. @SalvationCBS returns Monday, June 25 at 9/8c! ☄️ https://t.co/N9pYuhYLRF",96,@CBS
0.0,Mon May 28 02:08:19 +0000 2018,0.0,1.0,0.0,RT @thegoodfight: All episodes of season 2 are now available. Stream #TheGoodFight on CBS All Access: https://t.co/k3tn8kR9KC https://t.co/…,97,@CBS
0.6239,Wed May 23 23:07:38 +0000 2018,0.0,0.797,0.203,Get the popcorn ready! 🍿  It's going to be an unforgettable @survivorcbs finale. Make sure to tune in TONIGHT at 8/… https://t.co/vp0JyqfXMQ,98,@CBS
0.5859,Wed May 23 19:02:43 +0000 2018,0.0,0.826,0.174,"RT @StrangeAngel: Every brilliant mind has a dark side. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/y0MZg1BzEB htt…",99,@CBS
-0.4215,Thu Jul 05 00:46:00 +0000 2018,0.135,0.865,0.0,The White House has said struggling Chinese tech giant ZTE can temporarily restart some of its business activities… https://t.co/UVSS1hqtcU,0,@CNN
0.0,Thu Jul 05 00:42:31 +0000 2018,0.0,1.0,0.0,China makes more fireworks than anywhere else in the world. @CNNStyle went inside one of the country's largest fire… https://t.co/DVZ7Vnl85a,1,@CNN
0.2023,Thu Jul 05 00:37:38 +0000 2018,0.078,0.814,0.109,"Is ""Starbucks fatigue"" setting in? The CEO of Coffee Bean &amp; Tea Leaf says he hopes that as the Seattle giant plans… https://t.co/jXrrZMGYAt",2,@CNN
0.4215,Thu Jul 05 00:31:00 +0000 2018,0.0,0.798,0.202,"83-year-old artist Christo has been creating conceptually challenging, and large-scale work since the late 1950s. N… https://t.co/v5ROrF5f2c",3,@CNN
0.34,Thu Jul 05 00:21:00 +0000 2018,0.057,0.826,0.117,"Online shopping has put a serious dent on brick and mortar retail, and the July 4th holiday marks the beginning of… https://t.co/TowvJ5GoOF",4,@CNN
0.357,Thu Jul 05 00:15:37 +0000 2018,0.0,0.899,0.101,"RT @CNNSitRoom: Rep. Smith says he believes the 'abolish ICE' movement is talking about the policies, not arguing for open borders: ""The im…",5,@CNN
0.0,Thu Jul 05 00:11:11 +0000 2018,0.0,1.0,0.0,"A woman's toenails fell off due to a fish pedicure she'd had months prior, according to a new report… https://t.co/pVssyhQThl",6,@CNN
0.0,Thu Jul 05 00:10:21 +0000 2018,0.0,1.0,0.0,RT @CNNSitRoom: Rep. Smith about Trump's relationship with Putin: I believe the President is lining us up with an authoritarian dictator in…,7,@CNN
0.0,Wed Jul 04 23:57:39 +0000 2018,0.0,1.0,0.0,The Department of Health and Human Services is suggesting that arrangements necessary to accommodate lawmakers who… https://t.co/kBM2BWTUbT,8,@CNN
0.1531,Wed Jul 04 23:46:26 +0000 2018,0.092,0.792,0.117,Secretary of State Mike Pompeo heads to North Korea under pressure to produce tangible signs of progress as US inte… https://t.co/bfVZDdhRKp,9,@CNN
0.0,Wed Jul 04 23:29:44 +0000 2018,0.0,1.0,0.0,These immigrants became American citizens in the time of Trump. Here are their stories. https://t.co/ciQGlYh6AM https://t.co/sSrGJ0BIgI,10,@CNN
-0.5574,Wed Jul 04 23:17:45 +0000 2018,0.175,0.825,0.0,"At least 17 people have died in Quebec due to high heat and humidity, officials say https://t.co/P0cueH79fP https://t.co/tTabMJ85JL",11,@CNN
0.34,Wed Jul 04 23:03:57 +0000 2018,0.082,0.779,0.139,Police have captured a woman who climbed the base of the Statue of Liberty in a protest over the separation of migr… https://t.co/NWOQp00WfX,12,@CNN
0.0,Wed Jul 04 23:01:08 +0000 2018,0.0,1.0,0.0,"Scientists have used in-vitro fertilization techniques to develop hybrid rhino embryos -- ""test-tube rhinos"" -- whi… https://t.co/snkMEFHmnF",13,@CNN
0.2732,Wed Jul 04 22:57:10 +0000 2018,0.137,0.643,0.221,2 doctors involved in the rescue of 33 trapped Chilean miners share their insight on the Thai cave rescue… https://t.co/SlSVZ7AVyR,14,@CNN
0.2023,Wed Jul 04 22:41:07 +0000 2018,0.0,0.909,0.091,Nearly 200 black female leaders and allies outside of Congress have signed a letter calling on top congressional De… https://t.co/zxW8fRXcqD,15,@CNN
0.5267,Wed Jul 04 22:40:48 +0000 2018,0.0,0.815,0.185,BREAKING: Police have captured a protester who climbed the base of the Statue of Liberty https://t.co/UYpqI3w42L https://t.co/a6ZkmS8SNX,16,@CNN
-0.5267,Wed Jul 04 22:32:19 +0000 2018,0.134,0.866,0.0,Footage of the 12 boys and their soccer coach who are trapped in a Thai cave network shows them wrapped in foil bla… https://t.co/tJwcIRgjte,17,@CNN
-0.1027,Wed Jul 04 22:14:26 +0000 2018,0.116,0.782,0.102,"RT @CNNSitRoom: New video released by the Thai Navy SEALs show the boys trapped in a cave wrapped in foil blankets for warmth, as they spea…",18,@CNN
0.1531,Wed Jul 04 22:06:07 +0000 2018,0.12,0.729,0.151,Why Scott Pruitt got off easy in his restaurant confrontation | By Jay Parini via @CNNOpinion… https://t.co/Jyt7VXlctf,19,@CNN
-0.6249,Wed Jul 04 21:56:04 +0000 2018,0.362,0.638,0.0,Caroline Wozniacki's #Wimbledon woes show no sign of ending https://t.co/1WQR1rBP4p https://t.co/qmRh9S6FCD,20,@CNN
0.7003,Wed Jul 04 21:46:05 +0000 2018,0.0,0.734,0.266,French President Emmanuel Macron has praised the skills of an 11-year-old Nigerian artist who drew a stunning portr… https://t.co/lywjAve5zU,21,@CNN
-0.5267,Wed Jul 04 21:41:12 +0000 2018,0.188,0.812,0.0,"Two people found unconscious in southern England were exposed to Novichok, the same nerve agent used to attack an e… https://t.co/QEqG8U5rvv",22,@CNN
-0.0772,Wed Jul 04 21:37:37 +0000 2018,0.061,0.939,0.0,"JUST IN: Two people found unconscious in southern England were exposed to Novichok, the same nerve agent used to at… https://t.co/PNgHZulMKr",23,@CNN
-0.3612,Wed Jul 04 21:36:03 +0000 2018,0.128,0.872,0.0,Illinois GOP Gov. Bruce Rauner denounced the Holocaust denier who's running for the state's 3rd Congressional Distr… https://t.co/cddWsIpAeC,24,@CNN
0.0,Wed Jul 04 21:26:07 +0000 2018,0.0,1.0,0.0,Sens. Lindsey Graham and Elizabeth Warren spent their Fourth of July finishing up a multi-day visit to Iraq by meet… https://t.co/vzq345Sruq,25,@CNN
-0.7351,Wed Jul 04 21:16:04 +0000 2018,0.237,0.763,0.0,"Feuding founders Thomas Jefferson and John Adams both died hours apart on July 4, 1826 -- the 50th anniversary of t… https://t.co/B8hRw2vclH",26,@CNN
0.0,Wed Jul 04 21:15:58 +0000 2018,0.0,1.0,0.0,RT @TheLeadCNN: Experts and dive teams working to evacuate 12 boys and their soccer coach from a cave in Thailand have to deal with many el…,27,@CNN
-0.5994,Wed Jul 04 21:04:34 +0000 2018,0.151,0.849,0.0,"73 years after the end of World War II, these Nazi hunters have turned their attention to the rise of neo-fascism |… https://t.co/Y31J221Saw",28,@CNN
0.1027,Wed Jul 04 21:01:25 +0000 2018,0.0,0.92,0.08,"Steny Hoyer, a top-ranking House Democrat, was admitted to the hospital Tuesday and diagnosed with pneumococcal pne… https://t.co/udrwQDBJmI",29,@CNN
0.0,Wed Jul 04 20:57:04 +0000 2018,0.0,1.0,0.0,Michael Avenatti says he would be qualified to be president because he has “three things” that he believes Donald T… https://t.co/zW2Yj5Vi07,30,@CNN
0.7783,Wed Jul 04 20:42:52 +0000 2018,0.0,0.714,0.286,BREAKING: A person has climbed the base of the Statue of Liberty. Liberty Island has been evacuated while authoriti… https://t.co/Jgyfoudhib,31,@CNN
0.0,Wed Jul 04 20:31:00 +0000 2018,0.0,1.0,0.0,"House GOP Rep. Tom Reed refuses to say whether or not Scott Pruitt should go but says he personally tries to ""engag… https://t.co/fcMs3wbPKG",32,@CNN
0.2235,Wed Jul 04 20:21:07 +0000 2018,0.0,0.905,0.095,Cerebral palsy didn't stop this 9-year-old girl from saving her baby brother from drowning. Her actions have earned… https://t.co/n6VkRcRJYf,33,@CNN
0.3612,Wed Jul 04 20:16:00 +0000 2018,0.0,0.894,0.106,"""I do agree that Russian meddling in our election did exist,"" says House Rep. Tom Reed on the bipartisan senate rep… https://t.co/Lxw3E0N7t9",34,@CNN
0.9468,Wed Jul 04 20:11:03 +0000 2018,0.0,0.509,0.491,"""I believe in a win, win game. Let's help Africa to succeed. Let's provide new hope for African youth in Africa."" F… https://t.co/Xh92IHIQ7i",35,@CNN
0.0,Wed Jul 04 20:01:18 +0000 2018,0.0,1.0,0.0,Michael Cohen drops the reference “personal attorney to President Donald J. Trump” from his Twitter biography… https://t.co/peRbMModB8,36,@CNN
-0.296,Wed Jul 04 19:55:01 +0000 2018,0.099,0.901,0.0,"Hours of heavy rain caused flooding in parts of Houston, leading officials to tell residents to avoid driving and s… https://t.co/nu5imVBuK4",37,@CNN
0.3612,Wed Jul 04 19:54:13 +0000 2018,0.0,0.902,0.098,"RT @CNNnewsroom: ""I do agree that Russian meddling in our election did exist,"" says House Rep. Tom Reed on the bipartisan senate report on…",38,@CNN
-0.2263,Wed Jul 04 19:48:06 +0000 2018,0.235,0.567,0.198,A person's desire to commit a physical or sexually violent act may be stopped with a quick physical intervention in… https://t.co/ekfaOBNBxA,39,@CNN
0.4767,Wed Jul 04 19:46:55 +0000 2018,0.0,0.89,0.11,"RT @CNNnewsroom: House GOP Rep. Tom Reed refuses to say whether or not Scott Pruitt should go but says he personally tries to ""engage as a…",40,@CNN
0.0,Wed Jul 04 19:45:10 +0000 2018,0.0,1.0,0.0,Senate Majority Leader Mitch McConnell said he doesn't think that there's much the federal government can do to ens… https://t.co/dIuGCNspyK,41,@CNN
0.0,Wed Jul 04 19:41:40 +0000 2018,0.0,1.0,0.0,RT @CNNPolitics: Michael Cohen drops the reference “personal attorney to President Donald J. Trump” from his Twitter biography https://t.co…,42,@CNN
0.0,Wed Jul 04 19:39:49 +0000 2018,0.0,1.0,0.0,"Michael Avenatti, the lawyer representing adult film actress Stormy Daniels, floated the possibility that he might… https://t.co/PWdPTebH4t",43,@CNN
-0.6369,Wed Jul 04 19:25:56 +0000 2018,0.181,0.819,0.0,"RT @CNNnewsroom: Despite Rep. Jim Jordan's denials, ex-Ohio State wrestler Mike DiSabato maintains Jordan knew of abuse allegations: ""I tal…",44,@CNN
-0.5106,Wed Jul 04 19:24:26 +0000 2018,0.148,0.852,0.0,"Walmart pulls ""Impeach 45"" T-shirts and baby onesies from its website after the clothing sparked an outcry from sup… https://t.co/MQpodpz1uB",45,@CNN
0.2023,Wed Jul 04 19:13:16 +0000 2018,0.0,0.904,0.096,President Donald Trump last August asked several top foreign policy advisers about the possibility of invading Vene… https://t.co/gIdndtk8FK,46,@CNN
0.7096,Wed Jul 04 19:06:20 +0000 2018,0.0,0.718,0.282,"Disney Imagineering has just released video of ""Stuntronics"" — robots capable of performing impressive stunts at it… https://t.co/oij5zYhOsc",47,@CNN
0.0,Wed Jul 04 18:51:02 +0000 2018,0.0,1.0,0.0,Americans' changing drinking habits have been taking shape for years and the 4 major US beer brands have been hit p… https://t.co/ITb2hnjlm2,48,@CNN
0.0,Wed Jul 04 18:50:00 +0000 2018,0.0,1.0,0.0,A police officer asked a 6-year-old girl in a wheelchair to dance. The internet swooned. https://t.co/lcjkyB8LSz https://t.co/TZFdYkK7Hk,49,@CNN
0.2006,Wed Jul 04 18:40:00 +0000 2018,0.096,0.778,0.126,Only 47% of Americans say they are extremely proud to be an American -- the lowest level since Gallup first asked t… https://t.co/KUtHZ1Bn19,50,@CNN
0.0,Wed Jul 04 18:39:38 +0000 2018,0.0,1.0,0.0,"3.3 million-year-old fossil shows that ancient toddlers climbed trees, researchers say https://t.co/gjzIbeKlJr https://t.co/IBDGPOZk6n",51,@CNN
0.0,Wed Jul 04 18:20:06 +0000 2018,0.0,1.0,0.0,"Michael Cohen drops the reference ""personal attorney to President Donald J. Trump"" from his Twitter bio… https://t.co/3K9PCW11JO",52,@CNN
-0.926,Wed Jul 04 18:10:09 +0000 2018,0.529,0.471,0.0,"Florida prosecutors will seek the death penalty against a grandmother accused of killing a woman, then impersonatin… https://t.co/LSfgOlX3DB",53,@CNN
0.0,Wed Jul 04 18:00:06 +0000 2018,0.0,1.0,0.0,"Scientists have used in-vitro fertilization techniques to develop hybrid rhino embryos -- ""test-tube rhinos"" -- whi… https://t.co/eVzVx46PTb",54,@CNN
0.0,Wed Jul 04 17:50:00 +0000 2018,0.0,1.0,0.0,Watch these thrill-seekers take a 853-foot bungee jump off the world's highest glass-bottomed bridge… https://t.co/i4IWIy07Cm,55,@CNN
0.0,Wed Jul 04 17:40:08 +0000 2018,0.0,1.0,0.0,Why some polls may be underestimating Democrats | Analysis by @ForecasterEnten https://t.co/ZFosXIBFVF https://t.co/bH8Vc9rBTd,56,@CNN
0.5267,Wed Jul 04 17:30:00 +0000 2018,0.0,0.793,0.207,Justice Kennedy's retirement is leaving an age disparity between Democrat-nominated and Republican-nominated justic… https://t.co/xiT8MimvNI,57,@CNN
0.0,Wed Jul 04 17:20:06 +0000 2018,0.0,1.0,0.0,"Scarlett Johansson is once again at the center of a Hollywood casting controversy over the film ""Rub &amp; Tug,"" in whi… https://t.co/gktSj8T1T9",58,@CNN
0.0,Wed Jul 04 17:10:06 +0000 2018,0.0,1.0,0.0,Western US cities are scrapping July 4 fireworks because of wildfires. So they're using drones instead.… https://t.co/EEIedBcsHg,59,@CNN
0.0,Wed Jul 04 17:10:05 +0000 2018,0.0,1.0,0.0,Western US cities are scrapping July 4 fireworks because of wildfires. So they're using drones instead.… https://t.co/1hMkkfcQHy,60,@CNN
-0.6808,Wed Jul 04 17:07:07 +0000 2018,0.237,0.763,0.0,"President Trump appeared to rely on a dubious Fox News report to unleash an attack on his predecessor.

Without any… https://t.co/GX8ClvQVlJ",61,@CNN
0.4215,Wed Jul 04 16:50:00 +0000 2018,0.0,0.843,0.157,Watch this rescued chimpanzee go bananas after being reunited with the couple that raised him… https://t.co/r5B2vCcwvD,62,@CNN
-0.8885,Wed Jul 04 16:49:11 +0000 2018,0.292,0.708,0.0,"RT @CNNnewsroom: Rep. Jim Jordan confirms he knew Dr. Strauss when he worked at Ohio State University but denies he knew about any abuse: ""…",63,@CNN
0.6808,Wed Jul 04 16:41:25 +0000 2018,0.0,0.763,0.237,"2017 saw a record number of store closings — but in that same year, low-price and premium retailers saw strong sale… https://t.co/nFLkTN64gU",64,@CNN
0.4019,Wed Jul 04 16:26:00 +0000 2018,0.0,0.891,0.109,Former Real Madrid and Brazil star Ronaldo sends his support as the football world urges boys in Thai cave to 'be s… https://t.co/abWoegu8kT,65,@CNN
-0.3612,Wed Jul 04 16:13:20 +0000 2018,0.143,0.857,0.0,'They treated us as though we were animals': Letters from inside an immigration detention facility… https://t.co/Np13xnBE1O,66,@CNN
0.5423,Wed Jul 04 15:59:52 +0000 2018,0.0,0.743,0.257,Senate panel agrees with intel community that Putin was trying to help Trump https://t.co/fyI5Uuinhg https://t.co/XppJuIqwZh,67,@CNN
0.0,Wed Jul 04 15:50:02 +0000 2018,0.0,1.0,0.0,Global employment is rising. Wages not so much. https://t.co/EnZrOrNsTS https://t.co/bIJQrM9mzC,68,@CNN
-0.5267,Wed Jul 04 15:43:22 +0000 2018,0.129,0.871,0.0,"RT @CNNnewsroom: Former Trump campaign adviser Steve Cortes says ""Pruitt has to go,"" says ""all the things he's doing just reek of the swamp…",69,@CNN
0.0,Wed Jul 04 15:41:33 +0000 2018,0.0,1.0,0.0,"More Americans are putting down Buds and Coors, instead grabbing wine, liquor, Corona and Michelob. Here's what's k… https://t.co/3LRnVlgIsB",70,@CNN
-0.6486,Wed Jul 04 15:31:06 +0000 2018,0.185,0.815,0.0,At least 34 people have been confirmed dead in a ferry sinking off the coast of Indonesia's South Sulawesi province… https://t.co/a8NNQROhWK,71,@CNN
0.0,Wed Jul 04 15:21:05 +0000 2018,0.0,1.0,0.0,These gadgets could transform the lives of visually impaired people https://t.co/7jGcudFYtT https://t.co/z0ILWjDMsJ,72,@CNN
-0.7906,Wed Jul 04 15:10:44 +0000 2018,0.269,0.731,0.0,"A nationwide manhunt is underway for three men accused of kidnapping and raping two sisters, ages 13 and 14, in nor… https://t.co/6RNRZxtBwG",73,@CNN
